"","id","wls_cw_sysid","cw_code","cw_name","cw_source_name","cw_source_type","pod_number","cw_legislation","cw_date_created","cw_status","organization","organization_count","organization_type","water_system_name","cw_use","source_category","source_comments","water_treatment_type","water_treatment_location","connections_count","connected_cw_name","connected_cw_pod_number","natural_resource_district","health_authority","cw_assessment_ind","cw_assessment_url","water_qlty_obj_status","water_qlty_obj_overvw_rpt_url","water_qlty_obj_tech_rpt_url","water_qlty_obj_rpt_year","water_qlty_obj_type","organization_concerns","waterworks_damage","general_comments","feature_area_sqm","feature_length_m","objectid","se_anno_cad_data","watershed_area","og_watershed_area","prot_og_watershed_area","og_percentage","prot_percentage","at_risk_area","perc_at_risk"
"238","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4ed0",230,"349.015","Matthew Community Watershed","Matthew Creek","CR","PD23186","Forest Practices Code",1995-06-15,"DESIGNATED","City of Kimberley",1,"Waterworks","Mark Creek Community Water System","PRIMARY","SW","SW","Disinfection","INTAKE",3831,"Mark Creek, Matthew Creek","PD23133, PD23186","Rocky Mountain Natural Resource District","Interior","No",NA,"Not completed by 2019",NA,NA,0,NA,"Recreation","Indirectly - due to access on logging roads",NA,153599074.1442,62738.9101,75958,NA,15359.9074144154,2647.81018409374,1957.64208792909,17.24,12.75,690.168096164655,4.49
"239","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4ecf",231,"310.018","Ellis Community Watershed","Ellis Creek","CR","PD54506","Forest Practices Code",1995-06-15,"DESIGNATED - REVIEW","City of Penticton",0,"None",NA,"IRRIGATION","SW","Not in use","NA","NA",1,NA,NA,"Okanagan Shuswap Natural Resource District","Interior","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=8464","Not completed by 2019",NA,NA,0,NA,NA,NA,"Source only used for irrigation - no domestic water use.",152917945.4667,71615.6975,75959,NA,15291.7945466783,1886.00337330671,269.181059627098,12.33,1.76,1616.82231367962,10.57
"240","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4ece",257,"300.056","Topping Community Watershed","Topping Creek-FR","CR","PD28183","Forest Practices Code",1995-06-15,"DESIGNATED","City of Rossland",1,"Waterworks",NA,"PRIMARY","SW","SW","Disinfection & filtration","TREATMENT FACILITY",1731,"Topping Creek, Hanna Creek, South Murphy Creek","PD28222, PD28183, PD28180","Selkirk Natural Resource District","Interior","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=8584","Not completed by 2019",NA,NA,0,NA,NA,"No","City of Rossland operates a water system on this creek.",20987923.7963,23677.6822,75985,NA,2098.7923796314,93.4956214404488,23.4956214404489,4.45,1.12,69.9999999999999,3.34
"241","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4ecd",258,"920.026","Englishman Community Watershed","Englishman River","R","PD29906","Forest Practices Code",1995-06-15,"DESIGNATED","City of Parksville",1,"Waterworks","Parksville WWS","PRIMARY","SW","SW","Disinfection","TREATMENT FACILITY",4500,NA,NA,"South Island Natural Resource District","Vancouver Island","No",NA,"Complete","https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-objectives/wqo_report_englishman.pdf","https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-objectives/wqo_tech_englishman.pdf",2010,"MOE Report","Turbidity, highway, railway, sewer","No","Parksville system obtains drinking water from: 50% surface water (sourced from Englishman River), 50% groundwater (not GUDI -sourced from 550 Despard Rd where there is a pump station)",318899675.9956,96131.5077,75986,NA,31889.9675995566,106.000501274553,106.000501274553,0.33,0.33,0,0
"242","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4ecc",259,"300.029","Kelly Community Watershed","Kelly Creek","CR","PD35016","Forest Practices Code",1995-06-15,"DESIGNATED","Regional District of Kootenay Boundary",1,"Waterworks",NA,"PRIMARY","SW","SW",NA,"NOT SPECIFIED",1176,NA,NA,"Selkirk Natural Resource District","Interior","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"Community watershed appears to be in use: http://village.fruitvale.bc.ca/content/beaver-valley-water-service. ",23914339.6333,22392.4347,75987,NA,2391.43396333149,0,0,0,0,0,0
"243","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4ecb",260,"900.005","Alpha Community Watershed","Alpha Creek","CR","PD46394","Forest Practices Code",1995-06-15,"DESIGNATED","Regional Municipality of Whistler",1,"Waterworks",NA,"EMERGENCY BACKUP","SW (other CW)","SW (other CW)","NA","NA",0,NA,NA,"Sea to Sky Natural Resource District","Vancouver Coastal","Yes",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"Uses another community watershed for their primary supply. Currently only using this community watershed for firefighting but there is the potential to reactivate as there are limited other sources for municipal water, and current municipal sources may not be sufficient in times of drought or if there is expansion (likely) in the municipality.",5062375.7343,10788.3889,75988,NA,506.237573431313,164.697121224826,0,32.53,0,164.697121224826,32.53
"244","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4eca",261,"340.159","Bird Community Watershed","Bird Creek","CR","PD28247","Forest Practices Code",1995-06-15,"DESIGNATED","City of Nelson",1,"Waterworks","City of Nelson Water System","PRIMARY","SW","SW","Disinfection & filtration","TREATMENT FACILITY",3900,"Anderson Creek, Bird Creek, Five Mile Creek, Selous Creek ","PD27524, PD28247, PD27761, PD27432","Selkirk Natural Resource District","Interior","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=8646","Not completed by 2019",NA,NA,0,NA,"Turbidity","No",NA,7802892.4731,11649.3656,75989,NA,780.289247312845,27,0,3.46,0,27,3.46
"245","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4ec9",262,"910.012","Wathl Community Watershed","Wathl Creek","GW","PD35383","Forest Practices Code",1995-06-15,"DESIGNATED - REVIEW","Haisla First Nation",0,"None",NA,"OTHER SOURCE","GW","GW",NA,"NOT SPECIFIED",0,NA,NA,"Coast Mountains Natural Resource District","Northern","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"System only uses groundwater and does not use surface water at all (Andy Boulton).  ",121532825.3583,54544.1709,75990,NA,12153.2825358318,5153.08957513679,666.366812370617,42.4,5.48,4486.72276276617,36.92
"246","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4ec8",263,"340.131","Springer Community Watershed","Springer Creek","CR","PD27880","Forest Practices Code",1995-06-15,"DESIGNATED","Village of Slocan",1,"Waterworks","Village of Slocan Water System","EMERGENCY BACKUP/IRRIGATION","SW","SW","NA","NA",0,NA,NA,"Selkirk Natural Resource District","Interior","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=8588","Not completed by 2019",NA,NA,0,NA,"Turbidity","Unknown",NA,48974057.3634,37021.9003,75991,NA,4897.4057363444,162.778392568996,3.89335153528452,3.32,0.08,158.885041033711,3.24
"247","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4ec7",264,"310.032","Lambly Community Watershed","Lambly Creek","CR","PD59106","Forest Practices Code",1995-06-15,"DESIGNATED","District of West Kelowna",1,"Waterworks","WestBank","PRIMARY","SW","SW","Disinfection","INTAKE",3800,"Lambly, Rose Valley Lake","PD59086, PD59106","Okanagan Shuswap Natural Resource District","Interior","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=9231","Complete","https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-objectives/tributaries_to_okanagan_lake_near_westbank.pdf","https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-objectives/wqo_tech_peachland_tributaries.pdf",1990,"MOE Report","Forestry, range use, recreation (OHV use)","Yes","Lambly Creek diverted to Rose Valley reseroir (not the natural water system). There is an intake on Lambley and one at the dam on Rose Valley (very small watershed around manmade dam). This water service, run by the District of West Kelowna, provides water to what used to be the Westbank Irrigation District and the Lakeview water ystems",224119437.4761,78462.3103,75992,NA,22411.9437476135,2146.57115256384,228.581755084021,9.58,1.02,1917.98939747982,8.56
"248","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4ec6",265,"310.080","Trout Community Watershed","Trout Creek","CR","PD54712","Forest Practices Code",1996-11-01,"DESIGNATED","District of Summerland",1,"Waterworks",NA,"PRIMARY","SW","SW",NA,"NOT SPECIFIED",4512,NA,NA,"Okanagan Shuswap Natural Resource District","Interior","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=8480","Not completed by 2019",NA,NA,0,NA,NA,NA,NA,716160892.431,157737.5834,75993,NA,71616.0892430867,6037.06168043589,1438.12641564973,8.43,2.01,4598.93526478616,6.42
"249","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4ec5",266,"100.062","Fergusson Community Watershed","Fergusson Creek","CR","PD47699","Forest Practices Code",1995-06-15,"DESIGNATED","Squamish Lillooet Regional District",1,"Waterworks","Goldbridge Water System","EMERGENCY BACKUP","GW","GW","Disinfection","INTAKE",53,NA,NA,"Cascades Natural Resource District","Interior","No",NA,"Not completed by 2019",NA,NA,0,NA,"Forestry, recreation (OHV use), IPPs, mining",NA,"This stream is also known as Sucker Creek. The community no longer uses this source and now relies on groundwater from a confined aquifer.  No water is diverted from Fergusson Creek.",32282242.6142,33332.039,75994,NA,3228.22426142535,227.216434001974,27.4984572642639,7.04,0.85,199.71797673771,6.19
"250","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4ec4",267,"900.008","Chapman Community Watershed","Chapman Creek","CR","PD45090","Forest Practices Code",1995-06-15,"DESIGNATED","Sunshine Coast Regional District",1,"Waterworks","Chapman Creek Water System","PRIMARY","SW","SW","Disinfection x2 & DAF & filtration","TREATMENT FACILITY",9892,"Chapman Creek, Gray Creek","PD45090, PD45168","Sunshine Coast Natural Resource District","Vancouver Coastal","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=8421","Not completed by 2019",NA,NA,0,NA,"Forestry, mining, organics/THMs, debris/slides","No","The Chapman Creek water system is supplemented with water from the Gray Creek CW.  Water operators may use the old/original intake at lower elevation as an emergency backup in the future. Under amount extracted, the number is a combined amount for both Chapman and Grey.",62732157.8906,46303.6053,75995,NA,6273.21578905507,1082.54733934795,956.745703212365,17.26,15.25,125.801636135582,2.01
"251","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4ec3",268,"920.068","Talkynah Community Watershed","Talkynah Creek","GW","PD30735","Forest Practices Code",1995-06-15,"DESIGNATED - REVIEW","Stz'uminus First Nation",0,"None",NA,"OTHER SOURCE","GW","GW","Unknown","NA",20,NA,NA,"South Island Natural Resource District","Vancouver Island","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"Respondent stated that there is a non native development of about 20 homes that use the Talkyhah community watershed.  He also noted that near the community watershed there is an old reservoir and piping from around 15 years ago. ",254446.811,2214.0749,75996,NA,25.4446811000371,0,0,0,0,0,0
"252","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4ec2",269,"930.003","Calbick Community Watershed","Calbick Creek","CR","PD29559","Forest Practices Code",1995-06-15,"DESIGNATED","Quatsino First Nation",1,"Waterworks",NA,"PRIMARY","SW","SW",NA,"NOT SPECIFIED",219,NA,NA,"North Island - Central Coast Natural Resource District","Vancouver Island","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"The community gets its water from a lake above the specified creek but still uses the source. The Regional District may also use this source.",637352.6141,3651.8631,75997,NA,63.7352614108203,0,0,0,0,0,0
"253","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4ec1",240,"360.004","Hamilton Community Watershed","Hamilton Creek","CR","PD28750","Forest Practices Code",1995-06-15,"DESIGNATED","City of Revelstoke",1,"Waterworks",NA,"EMERGENCY BACKUP","SW (other CW)","SW (other CW)","NONE","NO TREATMENT",0,NA,NA,"Selkirk Natural Resource District","Interior","No",NA,"Not completed by 2019",NA,NA,0,NA,"Forestry",NA,"A back up water supply for Revelstoke.  This CW is important for their water system emergency response.",13156855.835,15726.8594,75968,NA,1315.68558350024,405.937030055858,402.984374198413,30.85,30.63,2.95265585744482,0.22
"254","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4ec0",241,"340.047","Fletcher Community Watershed","Fletcher Creek","CR","PD24714","Forest Practices Code",1995-06-15,"DESIGNATED","Fletcher Creek Improvement District",1,"Waterworks","Fletcher Creek Improvement District Water System","PRIMARY","SW","SW","NONE","NO TREATMENT",52,NA,NA,"Selkirk Natural Resource District","Interior","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=8785","Not completed by 2019",NA,NA,0,NA,"Water quantity","No","2019 update: We are still using Fletcher Creek as our water source. We are in the process of having an engineering firm design a centralized disinfection plant for us, and anticipate having a design and proposed construction budget ready for presentation to our members in May this year. Depending upon costs and members approval, we may or may not be proceeding with construction of a disinfection facility in the near future.",14507397.6558,20272.9989,75969,NA,1450.73976558106,308.629789276309,0,21.27,0,308.629789276309,21.27
"255","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4ebf",242,"100.107","Inkawthia Community Watershed","Inkawthia Creek","CR","PD43953","Forest Practices Code",1995-06-15,"DESIGNATED","Spuzzum First Nation",1,"Waterworks",NA,"PRIMARY","SW","SW",NA,"NOT SPECIFIED",109,NA,NA,"Chilliwack Natural Resource District","Fraser","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,NA,15170504.9484,21031.6975,75970,NA,1517.05049484378,14.6916523933962,5.95323963603228,0.97,0.39,8.73841275736391,0.58
"256","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4ebe",243,"100.118","Young Creek Community Watershed","Young Creek","CR","PD41329","Forest Practices Code",2004-05-14,"DESIGNATED","Ryder Lake Farmers' Institute ",1,"Several Water Users","Ryder Lake Hall","PRIMARY","SW","SW - Hall's water is provided by the City of Chilliwack, many residents use the creek course. (earlier -  1 main ""well in creek"" (they said their supply is surface water) and several pump lines)",NA,"NOT SPECIFIED",0,NA,NA,"Chilliwack Natural Resource District","Fraser","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"Water supply used by Ryder Lake Hall and 17 nearby properties. Ryder Lake is a small lake on a private property.  This is a private water system",5571952.6761,10098.6274,75971,NA,557.195267606172,1.53355834720728,1.53355834720728,0.28,0.28,0,0
"257","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4ebd",244,"300.027","Hanna Community Watershed","Hanna Creek","CR","PD28222","Forest Practices Code",1995-06-15,"DESIGNATED","City of Rossland",1,"Waterworks","City of Rossland","PRIMARY","SW","SW","Disinfection & filtration","TREATMENT FACILITY",1731,"Topping Creek, Hanna Creek, South Murphy Creek","PD28222, PD28183, PD28180","Selkirk Natural Resource District","Interior","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=8584","Not completed by 2019",NA,NA,0,NA,NA,"No",NA,33843849.9047,29204.5657,75972,NA,3384.38499047574,192.504378559548,109.504378559551,5.69,3.24,82.999999999997,2.45
"258","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4ebc",245,"120.023","Six Mile Community Watershed","Six Mile Creek","CR","PD47901","Forest Practices Code",1995-06-15,"DESIGNATED - REVIEW","Village of Lytton",0,"None",NA,"IRRIGATION","SW","SW","NA","NA",0,NA,NA,"Cascades Natural Resource District","Interior","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"License has been abandoned by Village of Lytton. There are now only two private users (for irrigation purposes)",5557054.0489,11586.2395,75973,NA,555.705404887636,29.0365327769583,0,5.23,0,29.0365327769583,5.23
"259","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4ebb",246,"120.021","Murray Community Watershed","Murray Creek","CR","PD45761","Forest Practices Code",1995-06-15,"DESIGNATED","Cooks Ferry Indian Band",1,"Waterworks","Spencer's Brdige","PRIMARY","SW","SW","NA","NA",0,NA,NA,"Cascades Natural Resource District","Interior","No",NA,"Not completed by 2019",NA,NA,0,NA,"Turbidity",NA,"Cooks Ferry Indian Band still uses the CW source and maintains an intake on the creek. Their main source is groundwater (3 wells) but they maintain an intake on the Murray Creek as a backup supply. Thompson Nicola Regional District switched from surface water to well because of water quality issues. Creek source is very turbid and subject to flash floods.",149454155.253,64292.6409,75974,NA,14945.4155253009,2444.02006666294,492.971159138427,16.35,3.3,1951.04890752452,13.05
"260","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4eba",247,"300.071","Dog Community Watershed","Dog Creek","CR","PD62408","Forest Practices Code",1995-06-15,"DESIGNATED","Dog Creek Water Users Group",1,"Water Users' Community","Dog Creek Water System","PRIMARY","SW","SW","Unknown","NOT SPECIFIED",18,NA,NA,"Selkirk Natural Resource District","Interior","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=9381","Not completed by 2019",NA,NA,0,NA,NA,NA,NA,10831422.2095,16495.064,75975,NA,1083.14222094984,60.9957203647919,0,5.63,0,60.9957203647919,5.63
"261","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4eb9",248,"100.212","Mellott Creek Community Watershed","Mellott Creek","CR","PD47071","Forest and Range Practices Act",2009-02-02,"DESIGNATED","Ponderosa Ranch, Strata Plan K270",1,"Waterworks",NA,"PRIMARY","SW & GW","SW and GW",NA,"NOT SPECIFIED",0,NA,NA,"Cascades Natural Resource District","Vancouver Coastal","No",NA,"Complete",NA,NA,2009,"Established under Government Actions Regulation (GAR)",NA,NA,"Water system located on the west side of Anderson Lake.  Interviewee noted that a woman named Jennifer Gay wrote a report on the Mellott Creek Community Watershed and this report may have relevant information on this CW.",5469622.3667,9459.1603,75976,NA,546.962236668832,32.8446731152564,25,6,4.57,7.84467311525643,1.43
"262","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4eb8",249,"100.059","D'Arcy Community Watershed","D'Arcy Creek","CR","PD47895","Forest Practices Code",1995-06-15,"DESIGNATED","Squamish Lillooet Regional District, Titqet Indian Band",2,"Multiple User Groups","D’Arcy Creek (D’Arcy Subdivision)","EMERGENCY BACKUP","GW","GW - primary, SW - backup","Maintenance only","NA",30,NA,NA,"Sea to Sky Natural Resource District","Vancouver Coastal","No",NA,"Not completed by 2019",NA,NA,0,NA,"Forestry, range use, wildfire",NA,"Groundwater is the primary source from a confined aquifer. The system is owned, operated and maintained by N’Quatqua. The surface water intake is maintained in the Creek in case of emergency and/or termination of the water supply agreement with N’Quatqua.  They moved to GW due to issues with SW quality from cattle. There is also a waterworks license on the Creek to the Titqet (Lilloett) Indian Band.",8374133.2429,13101.7631,75977,NA,837.413324293916,68.2951060963489,0,8.16,0,68.2951060963489,8.16
"263","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4eb7",250,"128.030","Wade Community Watershed","Wade Creek","CR","PD49856","Forest Practices Code",1995-06-15,"DESIGNATED","City of Salmon Arm",1,"Waterworks","Salmon Arm Water Distribution/Treatment system","PRIMARY","SW","SW","Disinfection & filtration","TREATMENT FACILITY",7000,"Gordon Creek, Hobson Creek, Wade Creek, White Cliff Gulch, East Canoe Creek","PD49266, PD49872, PD49617, PD49856, PD49330","Okanagan Shuswap Natural Resource District","Interior","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,"No","Water from Wade CW feeds down to Shuswap Lake which is Salmon Arm's primary source of drinking water.  90% of the City’s water supply is treated through a Level IV Water Treatment plant sourced by Shuswap Lake ",81766.0446,1313.2963,75978,NA,8.17660446249619,0,0,0,0,0,0
"264","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4eb6",251,"NEL.002","Little Quarry Lake Community Watershed","Little Quarry Lake","LK","PD44495","Forest Practices Code",1999-10-22,"DESIGNATED","Quarry Harbour Strata VR1481",1,"Waterworks","Quarry Harbour Strata Water System","PRIMARY","SW","SW","Disinfection & basic filtration","TREATMENT FACILITY",80,NA,NA,"Sunshine Coast Natural Resource District","Vancouver Coastal","No",NA,"Not completed by 2019",NA,NA,0,NA,"Forestry","No forest or range activity in watershed","Respondent noted that the water system was well maintained by Malaspina Engineering and Warrington PCI Management. Warrington PCI was identified as the most appropriate contact as the governing council varies over the years.",1462179.1266,5265.9199,75979,NA,146.217912656269,0,0,0,0,0,0
"265","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4eb5",252,"128.002","Anglemont Community Watershed","Anglemont Creek","CR","PD52810","Forest Practices Code",1995-06-15,"DESIGNATED","St. Ives Waterworks Co. Ltd.",1,"Waterworks","St. Ives Waterworks","PRIMARY","SW","SW","Disinfection","TREATMENT FACILITY",119,NA,NA,"Okanagan Shuswap Natural Resource District","Interior","No",NA,"Not completed by 2019",NA,NA,0,NA,"Forestry, turbidity","No forest or range activity in watershed","In 2015/2016, St Ives was planning to upgrade their water treatment system to add UV treatment and filtration.  The water intake is located in an engineered concrete structure within Anglemont Creek. It has never been moved and could not be moved without fundamental changes to the system.",1326166.5633,6256.5553,75980,NA,132.616656331241,0,0,0,0,0,0
"266","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4eb4",253,"100.111","Service Community Watershed","Service Creek","GW","PD42836","Forest Practices Code",1995-06-15,"DESIGNATED - REVIEW","BC Parks Regional Operations - South Coast",0,"None",NA,"OTHER SOURCE","GW","GW","Disinfection & filtration","WELL",0,NA,NA,"Chilliwack Natural Resource District","Fraser","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"All BC Parks changed over from surface water to groundwater in 2014.",2662049.0857,8631.4331,75981,NA,266.204908575058,48.2265301777374,48.2265301777374,18.12,18.12,0,0
"267","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4eb3",254,"900.020","Gray Community Watershed","Gray Creek","CR","PD45168","Forest Practices Code",1995-06-15,"DESIGNATED","Sunshine Coast Regional District",1,"Waterworks","supplements Chapman CW","PRIMARY","SW","SW","Disinfection x2 & DAF & filtration","TREATMENT FACILITY",9892,"Chapman Creek, Gray Creek","PD45090, PD45168","Sunshine Coast Natural Resource District","Vancouver Coastal","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=8421","Not completed by 2019",NA,NA,0,NA,NA,NA,"Gray Creek is used to supplement the water from the Chapman Community Watershed.  The amount extracted is a combined amount for both Chapman and Grey.",44232174.0066,33810.2132,75982,NA,4423.2174006556,697.618971861494,655.890725540196,15.77,14.83,41.7282463212975,0.94
"268","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4eb2",255,"400.005","Chicago Community Watershed","Chicago Creek","CR","PD34476","Forest Practices Code",1995-06-15,"DESIGNATED","Regional District of Kitimat Stikine",1,"Waterworks","South Hazelton Water System","PRIMARY","SW","SW","Disinfection & filtration","TREATMENT FACILITY",167,NA,NA,"Skeena Stikine Natural Resource District","Northern","No",NA,"Not completed by 2019",NA,NA,0,NA,"Recreation, turbidity, water quantity","Potentially","South Hazelton has a surface water collection system that collects water from Chicago Creek at a weir located approximately 200m upstream of the disinfection building.  Water is piped from the weir down to an infiltration gallery located directly outside of the disinfection facility.  Changes to intake location expected.",6246617.679,12148.3875,75983,NA,624.661767899894,0,0,0,0,0,0
"269","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4eb1",256,"100.011","Deroche Community Watershed","Deroche Creek","OTH","PD43252","Forest Practices Code",1995-06-15,"DESIGNATED - REVIEW","Fraser Valley Regional District",0,"None","Yale Community Water System","OTHER SOURCE","Unknown","Unknown","NA","NA",0,NA,NA,"Chilliwack Natural Resource District","Fraser","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"Deroche Creek is no longer used. License should be cancelled",7169092.8573,12316.8086,75984,NA,716.909285731307,137.427421538008,93.1244961198516,19.17,12.99,44.3029254181568,6.18
"270","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4eb0",287,"920.049","John Hart Community Watershed","John Hart Lake","LK","PD30869","Forest Practices Code",2001-05-29,"DESIGNATED","City of Campbell River",1,"Waterworks","City of Campbell River","PRIMARY","SW","SW","Disinfection x2","INTAKE",14304,NA,NA,"Campbell River Natural Resource District","Vancouver Island","No",NA,"Complete","https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-objectives/wqo_report_john_hart_mcivor.pdf","https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-objectives/wqo_tech_john_hart_mcivor.pdf",2012,"MOE Report","Forestry, spills","Yes",NA,25198556.2799,24877.1449,76015,NA,2519.85562799266,8.23615885907621,8.23615885907621,0.33,0.33,0,0
"271","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4eaf",288,"110.003","Sasquatch Community Watershed","Sasquatch Creek","OTH","PD43441","Forest Practices Code",1995-06-15,"DESIGNATED - REVIEW","Thunderbird Water Users Community",0,"None",NA,"OTHER SOURCE","Unknown","Unknown",NA,"NOT SPECIFIED",0,NA,NA,"Chilliwack Natural Resource District","Fraser","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"Abandoned",232608.4552,2449.6592,76016,NA,23.2608455187216,0,0,0,0,0,0
"272","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4eae",289,"430.002","Spring Community Watershed","Spring Creek","CR","PD34617","Forest Practices Code",1995-06-15,"DESIGNATED","City of Terrace",1,"Waterworks",NA,"EMERGENCY BACKUP","GW & SW (other CW)","primary - GW, secondary - SW (deep creek); Spring creek is an emergency supply","Disinfection","TREATMENT FACILITY",7337,NA,NA,"Coast Mountains Natural Resource District","Northern","No",NA,"Not completed by 2019",NA,NA,0,NA,"Water quantity, turbidity",NA,"The City of Terrace maintains an intake on this stream and uses this source as an emergency supply  ",3621325.2449,10263.4661,76017,NA,362.132524493741,18.2009311163723,0,5.03,0,18.2009311163723,5.03
